Trt,Aerified,Block,mar,avr,mai,jun,jul,aug,sep
5,Non,1,7,7,7,7,6,7,5
7,Non,1,7,7,7,7,6.5,5.5,5
1,Non,1,6,7,7,7,6,7,7
2,Non,1,7,7,7,7,7,6,6
4,Non,1,7,7,7,7,5.5,5.5,7
3,Non,1,7,7,7,7,7,7,6
6,Non,1,7,7,7,7,7,7,7
8,Non,1,7,7,7,7,7.5,7,5
5,Oui,2,7,7,7,7,7,6,3
8,Oui,2,7,7,7,7,6.5,5,3
7,Oui,2,7,7,6,7,6.5,5.5,6
2,Oui,2,7,7,7,7,6.5,7,7
4,Oui,2,7,7,7,7,5.5,7,7
1,Oui,2,6,7,7,6,6,6,7
3,Oui,2,7,7,7,7,7,5.5,6
6,Oui,2,7,7,7,7,6.5,7,7
6,Non,2,7,7,7,7,6,7,7
3,Non,2,7,7,7,7,6,5,5
1,Non,2,6,7,6.5,6,6,6,7
4,Non,2,7,7,7,7,5.5,5.5,5
2,Non,2,7,7,7,6,6,6,7
7,Non,2,7,7,7,7,6,7,5
8,Non,2,7,7,7,7,6.5,5,3
5,Non,2,7,7,7,7,6.5,5.5,3
8,Oui,1,7,7,7,7,7.5,5.5,4
6,Oui,1,7,7,7,7,7,5.5,7
3,Oui,1,7,7,7,7,7,7,6
4,Oui,1,7,7,7,7,6,5.5,7
2,Oui,1,7,7,7,7,6,5,6
1,Oui,1,6,7,6.5,6.5,6.5,6,6
7,Oui,1,7,7,7,7,6,5,4
5,Oui,1,7,7,7,7,6,5.5,4
6,Non,3,7,7,7,7,6.5,5.5,4
8,Non,3,7,7,7,7,6,4,3
2,Non,3,7,7,7,7,7,7,7
1,Non,3,6,7,7,6,6,6,6
4,Non,3,7,7,7,7,6.5,7,5
7,Non,3,7,7,7,7,7,5.5,5
5,Non,3,7,7,7,7,7,5,5
3,Non,3,7,7,7,7,7,7,7
6,Non,4,7,7,7,7,6.5,7,7
3,Non,4,7,7,7,7,7,5.5,7
5,Non,4,7,7,7,7,6.5,5,5
1,Non,4,6,7,6.5,6,6,6,7
2,Non,4,7,7,7,7,6.5,7,7
8,Non,4,7,7,7,7,5,4,3
4,Non,4,7,7,7,7,5,5,5
7,Non,4,7,7,7,7,6.5,5,5
7,Oui,4,7,7,7,7,6.5,5.5,6
4,Oui,4,7,7,7,7,5.5,5,5
8,Oui,4,7,7,7,7,5,5,3
2,Oui,4,7,7,7,7,7,5.5,7
1,Oui,4,6,7,7,6,5.5,6,7
5,Oui,4,7,7,7,7,6.5,5,7
3,Oui,4,7,7,7,7,7.5,5,7
6,Oui,4,7,7,7,7,7.5,5.5,6
3,Oui,3,7,7,7,7,7,7,7
5,Oui,3,7,7,7,7,7,5.5,5
7,Oui,3,7,7,7,7,7,5,6
4,Oui,3,7,7,7,7,7,7,7
1,Oui,3,6,7,7,6,6,6,6
2,Oui,3,7,7,7,7,7,5.5,7
8,Oui,3,7,7,7,7,6.5,5,3
6,Oui,3,7,7,7,7,6.5,6,5
